Fx,Fy,Fz,Mx,My,Mz
-0.12979960441589355,-9.941362380981445,-3.133436679840088,-0.12201827764511108,-0.061488762497901917,0.057408448308706284
-0.11445284634828568,-9.965840339660645,-3.0702810287475586,-0.1223967969417572,-0.06173882633447647,0.05756257846951485
-0.06485939770936966,-10.005882263183594,-3.1326241493225098,-0.12361489236354828,-0.06287124752998352,0.057434652000665665
-0.15808434784412384,-9.97142505645752,-3.0896904468536377,-0.12289979308843613,-0.06104836240410805,0.05706191807985306
-0.13553471863269806,-9.956951141357422,-3.1116671562194824,-0.12246628105640411,-0.061748724430799484,0.05707091838121414
-0.0848696306347847,-9.969050407409668,-3.1541860103607178,-0.12284386903047562,-0.0628957599401474,0.057424578815698624
-0.09280653297901154,-9.922673225402832,-3.1352860927581787,-0.1211111918091774,-0.062418315559625626,0.05709187686443329
-0.15725493431091309,-9.971456527709961,-3.0898001194000244,-0.12290087342262268,-0.06105931103229523,0.05755135044455528
-0.1315036416053772,-9.892375946044922,-3.1342132091522217,-0.12124963849782944,-0.06146611273288727,0.057401858270168304
-0.09467936307191849,-9.930322647094727,-3.112858772277832,-0.12203516066074371,-0.06240192800760269,0.057083409279584885
-0.08135229349136353,-9.905129432678223,-3.113551139831543,-0.12163560092449188,-0.062615767121315,0.057248517870903015
-0.06176162511110306,-9.927288055419922,-3.0931577682495117,-0.12157823145389557,-0.06361337006092072,0.057408157736063004
-0.09214545041322708,-9.979341506958008,-3.1121914386749268,-0.12280487269163132,-0.062435537576675415,0.05757942423224449
-0.0570986345410347,-9.939640998840332,-3.134751319885254,-0.12197072803974152,-0.06333878636360168,0.05726410821080208
-0.08928919583559036,-9.858752250671387,-3.094651460647583,-0.11990290880203247,-0.06213832646608353,0.05691580846905708
-0.1538110375404358,-9.878875732421875,-3.0923027992248535,-0.12084156274795532,-0.06076940894126892,0.05738501250743866
-0.13004231452941895,-9.969337463378906,-3.1533703804016113,-0.12285985797643661,-0.06148510426282883,0.057416293770074844
-0.11239791661500931,-9.970483779907227,-3.1536872386932373,-0.12287543714046478,-0.06245638430118561,0.05757720395922661
-0.09067817032337189,-9.955978393554688,-3.1755542755126953,-0.12244084477424622,-0.06314579397439957,0.05709677189588547
-0.10251355916261673,-9.967903137207031,-3.153869390487671,-0.12282829731702805,-0.06192447245121002,0.05726367607712746
-0.12252379208803177,-9.931071281433105,-3.175431251525879,-0.12205726653337479,-0.0619489848613739,0.057253602892160416
-0.16330571472644806,-9.986359596252441,-3.1311020851135254,-0.12333942204713821,-0.0613056980073452,0.05723138898611069
-0.1716541200876236,-10.024593353271484,-3.108931541442871,-0.12414093315601349,-0.06083086505532265,0.05690465867519379
-0.16762304306030273,-9.9600191116333,-3.1314778327941895,-0.12292429059743881,-0.06054825335741043,0.05723560228943825
-0.08740902692079544,-10.020356178283691,-3.110647201538086,-0.12404840439558029,-0.06217087805271149,0.05742565169930458
-0.04199410229921341,-9.992094993591309,-3.091529369354248,-0.12319083511829376,-0.06358519941568375,0.057426076382398605
-0.12245035916566849,-9.959732055664062,-3.132293462753296,-0.12290830165147781,-0.06195890158414841,0.05724387988448143
-0.09238816052675247,-10.007316589355469,-3.13212513923645,-0.12364645302295685,-0.062431879341602325,0.05758726969361305
-0.11493778973817825,-10.021790504455566,-3.1101484298706055,-0.12407996505498886,-0.06173150986433029,0.05757826939225197
-0.029812581837177277,-9.966182708740234,-3.155183792114258,-0.12278074771165848,-0.06377449631690979,0.05711933597922325
-0.03642183542251587,-9.932817459106445,-3.134300470352173,-0.12246118485927582,-0.06402277201414108,0.057264648377895355
-0.11688405275344849,-10.000779151916504,-3.1308586597442627,-0.12415291368961334,-0.06170520931482315,0.05757953226566315
-0.11730242520570755,-9.916135787963867,-3.1340198516845703,-0.1216176375746727,-0.06169164180755615,0.057084131985902786
-0.1315036416053772,-9.892375946044922,-3.1342132091522217,-0.12124963849782944,-0.06146611273288727,0.057401858270168304
-0.11576719582080841,-10.021758079528809,-3.1100387573242188,-0.1240788921713829,-0.06172056123614311,0.05708884447813034
